151,Orriols,312.51,20584.31,312.51,134.54,60938.32,1417.17,539548.44,36646.39,76.23,99.04,1602923.5,212068.65,167.5996968,212.4936373
152,Torrefiel,268.45,44534.41,268.45,311.43,187694.1,2317.21,947278,55226.42,78.34,94.08,2946547.24,443630.46,177.6205461,232.0242992
153,Sant Llorenç,409.19,21720.27,409.19,434.41,197681.93,1568.9,348447.4,27478.9,82.22,102.92,2440937.29,873513.57,244.6319192,1480.531475
161,Benicalap,324.37,162553.04,324.37,407.4,386313.65,2720.52,1419162.36,104334.82,79.81,102.49,5723680.94,1756261.57,198.2364472,398.7878224
162,Ciutat Fallera,240.65,2888.1,240.65,120.34,1857.39,371.48,233984.82,15813.9,78.39,112.16,613438.93,48344.56,188.5763695,242.9374874
171,Benifaraig,447.89,0,447.89,0,62.1,62.1,52960.81,2933.94,78.93,101.17,185739.52,6793.51,242.1636506,130.6444231
172,Poble Nou,246.9,359.86,246.9,119.95,2090.67,522.67,48289.98,8797.56,77.51,105.99,147728.47,34673.44,260.0853345,1083545
173,Carpesa,640.81,275.16,640.81,91.72,3834.89,547.84,63268.51,6886.04,73.4,120.81,204946.56,10035.95,262.08,401438
174,Casesde Bàrcena,730.14,0,730.14,0,2316.89,579.22,15979.71,2073.66,86.85,90.16,57772.92,8227.64,204.1445936,548.5093333
175,Mauella,957.9,0,957.9,0,0,0,2118.14,0,78.45,0,11132.42,357.36,142.7233333,89.34
176,Massarrojos,1840.81,11544.77,1840.81,962.06,523.29,261.65,87361.06,4872.85,81.95,113.32,594686.2,79635.49,478.8133655,402.1994444
177,Borbotó,777.16,0,777.16,0,2618.93,523.79,40670.76,5737.32,76.74,104.31,123896.15,9409.64,264.1708955,261.3788889
181,Benimàmet,448.87,45337.78,448.87,371.62,44150.44,1379.7,545324.65,38770.61,80.6,107.4,1688464.76,328115.02,204.1180803,295.5991171
182,Beniferri,365.48,26401.83,365.48,1650.11,521924.83,6606.64,31981.36,22383.81,82.43,137.32,204031.32,427181.5,366.3039856,1624.264259
191,el Fornd'Alcedo,324.53,9915.75,324.53,4957.88,96927.86,1491.2,63681.08,71608.1,82.92,116.63,264476.46,245022.09,289.0453115,2474.970606
192,el Castellar-l'Oliverar,327.56,4218.76,327.56,175.78,21241.51,1117.97,360584.26,105065.51,82.68,122.45,1044361.58,46770.44,223.2973231,233.8522
193,Pinedo,450.72,1133.28,450.72,161.9,10973.1,914.43,136169.63,31399.49,82.83,132.49,419609.22,55117.97,254.6172451,382.7636806
194,el Saler,807.93,4242.1,807.93,2121.05,9629.89,2407.47,77941.7,11529.18,83.81,120.1,755109.64,211409.78,290.315125,1174.498778
195,el Palmar,510.24,0,510.24,0,2516.17,629.04,42699.94,2699.58,85.4,99.98,129158.89,38016.01,258.8354509,731.0771154
196,el Perellonet,625.53,18866.16,625.53,898.39,2531.06,843.69,59303.94,3552.05,84.12,107.64,1519415.38,139826.61,267.4085498,539.8710811
197,La Torre,227.84,14620.48,227.84,456.89,7432.71,929.09,214720.84,24274.99,79.59,102.43,575512.96,66186.03,193.8406736,182.834337
198,Faitanar,345.79,2272.33,345.79,206.58,2734.01,683.5,16253.87,10971.55,77.03,97.96,85709.48,223986.79,215.3504523,246.41011
